epoch,binary_accuracy,loss,lr,val_binary_accuracy,val_loss
0,0.8762542009353638,0.3726516664028168,1e-04,0.8899999856948853,0.23444770276546478
1,0.9342252016067505,0.2068268060684204,1e-04,0.9399999976158142,0.12559838593006134
2,0.9453734755516052,0.13720351457595825,1e-04,0.9599999785423279,0.16776210069656372
3,0.9598662257194519,0.10847420990467072,1e-04,0.9800000190734863,0.06156060844659805
4,0.9654403328895569,0.08894511312246323,1e-04,0.9700000286102295,0.05956791341304779
5,0.9687848091125488,0.08334426581859589,1e-04,0.9599999785423279,0.0932086631655693
6,0.9788182973861694,0.05444561690092087,1e-04,0.9599999785423279,0.15151606500148773
7,0.9810479283332825,0.04680216312408447,1e-04,0.9100000262260437,0.5064104199409485
8,0.9899665713310242,0.03407742828130722,1e-04,0.9599999785423279,0.10528740286827087
9,0.9966555237770081,0.009239273145794868,1e-04,0.9599999785423279,0.09365849196910858
10,0.9933110475540161,0.01500276941806078,1e-05,0.9700000286102295,0.09565187245607376
11,1.0,0.0033660223707556725,1e-05,0.9700000286102295,0.09222789853811264
12,1.0,0.002304547931998968,1e-05,0.9599999785423279,0.09091079980134964
13,1.0,0.0018103369511663914,1e-05,0.9599999785423279,0.0897846594452858
14,1.0,0.0014846990816295147,1e-05,0.9599999785423279,0.08880333602428436
15,1.0,0.001234312541782856,1e-06,0.9599999785423279,0.08775881677865982
16,1.0,0.0012115638237446547,1e-06,0.9599999785423279,0.08730817586183548
17,1.0,0.0011879890225827694,1e-06,0.9599999785423279,0.08694436401128769
18,1.0,0.001163494074717164,1e-06,0.9599999785423279,0.08661352097988129
19,1.0,0.0011381041258573532,1e-06,0.9599999785423279,0.08630827069282532
20,1.0,0.0011083707213401794,1e-07,0.9599999785423279,0.08618944883346558
21,1.0,0.0011055385693907738,1e-07,0.9599999785423279,0.08614161610603333
22,1.0,0.0011024319101125002,1e-07,0.9599999785423279,0.08609741926193237
23,1.0,0.0010989565635100007,1e-07,0.9599999785423279,0.08605119585990906
24,1.0,0.0010950348805636168,1e-07,0.9599999785423279,0.08599784970283508
